Iteration	Posterior	Likelihood	Prior	beta_categories[1]	beta_categories[2]	beta_categories[3]	beta_categories[4]	beta_scale	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	tree_length
0	-2605.494	-2712.695	107.2009	0.0386942	0.298555	0.701445	0.961306	0.4368724	0.0118093	0.011405	0.00707844	0.0149585	0.00570424	0.0853781	0.00145535	0.00393605	0.0150493	0.00644325	0.00523643	0.00682156	0.00626105	0.00912809	0.0047534	0.0124944	0.0407403	0.0134099	0.000251523	0.000178686	0.000737526	0.00321934	0.00402435	0.0146497	0.00982463	0.0128591	0.0060881	0.00953224	0.0046022	0.00585916	0.00360731	0.00998433	0.003268	0.00713007	0.0188079	0.00334766	0.0114496	0.00608816	0.021295	0.00645491	0.00662892	0.0316621	0.0226448	0.013136	0.0095304	0.000164629	0.00117923	0.0155368	0.00727602	0.0110927	0.0196047	0.00718168	0.016895	0.00528261	0.0288578	0.0147488	0.00952758	0.00841122	0.0176092	0.0289542	0.0169459	0.0222926	0.0155707	0.0188256	0.0137717	0.00685484	0.0114115	0.329253	0.516588	0.0133874	0.140772	0.112975	0.345252	0.717641	1.39345	2.89643	8.85153	1.576717	0.014635	0.014134	0.00877217	0.0185378	0.00706915	0.105807	0.00180359	0.00487788	0.0186503	0.007985	0.00648941	0.00845383	0.00775921	0.0113123	0.0058908	0.0154841	0.0504886	0.0166186	0.000311708	0.000221442	0.000914002	0.00398966	0.00498731	0.0181551	0.0121755	0.015936	0.00754487	0.0118131	0.00570342	0.00726115	0.00447047	0.0123734	0.00404998	0.00883616	0.0233082	0.00414869	0.0141893	0.00754494	0.0263905	0.00799945	0.0082151	0.0392382	0.0280633	0.0162792	0.0118108	0.000204022	0.0014614	0.0192545	0.00901704	0.013747	0.0242957	0.00890012	0.0209376	0.00654664	0.035763	0.0182779	0.0118073	0.0104239	0.0218227	0.0358824	0.0210007	0.0276269	0.0192964	0.0233303	0.017067	0.00849508	0.014142	0.8069193
36	-2605.029	-2712.311	107.2816	0.0226069	0.26947	0.73053	0.977393	0.3431403	0.0228719	0.00541502	0.0170262	0.00952599	0.0106537	0.0690938	0.00234789	0.00266379	0.0289441	0.00438198	0.00543256	0.00396407	0.00252996	0.00121052	0.000789105	0.00917494	0.0303166	0.00812474	0.000963797	0.00135326	0.00156386	0.000536759	0.00640749	0.011399	0.00164354	0.0186541	0.0167877	0.00429407	0.00564922	0.000733248	0.0092578	0.00989068	0.00219039	0.00240989	0.0166965	0.00169019	0.00637956	0.0198898	0.0291553	0.00447692	0.00250089	0.0159517	0.0267896	0.00692075	0.00543466	0.00158473	0.00616024	0.0153814	0.0212224	0.0208407	0.0193824	0.00338264	0.0173724	0.00208234	0.0292807	0.011128	0.00581396	0.0022917	0.0048263	0.0125154	0.00829016	0.0256293	0.0128472	0.0121219	0.00923596	0.0110843	0.0161135	0.325191	0.506905	0.0900086	0.0778954	0.105895	0.334525	0.710609	1.40724	2.98931	9.44336	1.623515	0.031217	0.00739075	0.0232384	0.0130017	0.0145408	0.0943035	0.00320455	0.00363571	0.0395047	0.0059808	0.00741469	0.00541041	0.00345305	0.00165219	0.00107702	0.0125225	0.0413779	0.0110891	0.00131545	0.00184702	0.00213445	0.000732601	0.00874534	0.015558	0.00224321	0.0254602	0.0229129	0.00586082	0.0077104	0.00100078	0.0126356	0.0134994	0.00298958	0.00328917	0.0227884	0.00230688	0.00870721	0.0271468	0.039793	0.00611037	0.00341337	0.0217719	0.036564	0.00944586	0.00741756	0.00216294	0.00840788	0.0209934	0.0289657	0.0284447	0.0264542	0.00461684	0.0237109	0.0028421	0.0399641	0.0151881	0.00793525	0.00312785	0.00658723	0.0170818	0.0113149	0.0349805	0.0175347	0.0165447	0.0126058	0.0151285	0.0219927	0.7326749
72	-2600.06	-2707.184	107.124	0.0149306	0.249463	0.750537	0.985069	0.2936585	0.0168357	0.00781361	0.005623	0.00968875	0.0147044	0.108776	0.000978769	0.00584932	0.0199511	0.00389424	0.00436107	0.00323543	0.0107818	0.0117604	0.00577343	0.00664902	0.0297076	0.00410013	0.000242553	0.00472069	0.00141437	0.0017465	0.0124949	0.0108906	0.00750306	0.00178535	0.00676053	0.0056661	0.00304946	0.00308029	0.00285592	0.00425976	0.000223126	0.00512248	0.0131552	0.00628693	0.0113682	0.0146309	0.0349376	0.0052202	0.0107985	0.0296668	0.0247237	0.00657124	0.011679	0.00396741	0.000932606	0.0342195	0.0203248	0.0339075	0.021177	0.00629586	0.023104	0.00143522	0.0199106	0.0123693	0.0201745	0.0109594	0.0213893	0.0283365	0.0122715	0.0485061	0.0200691	0.0222856	0.00848389	0.0141783	0.018658	0.437738	0.494981	0.0586619	0.00861927	0.0999087	0.325165	0.704345	1.41976	3.07536	10.0091	1.665588	0.0184139	0.00854606	0.0061501	0.010597	0.0160828	0.118973	0.00107052	0.00639763	0.0218213	0.00425929	0.00476988	0.00353872	0.0117925	0.0128628	0.00631463	0.0072723	0.0324924	0.00448447	0.00026529	0.00516321	0.00154696	0.00191022	0.0136662	0.0119115	0.00820639	0.00195271	0.00739426	0.00619724	0.00333531	0.00336904	0.00312363	0.00465907	0.000244042	0.00560266	0.0143884	0.00687626	0.0124338	0.0160023	0.0382126	0.00570955	0.0118107	0.0324477	0.0270413	0.00718722	0.0127738	0.00433932	0.00102003	0.0374273	0.02223	0.037086	0.0231621	0.00688603	0.0252698	0.00156975	0.021777	0.0135288	0.0220656	0.0119867	0.0233943	0.0309928	0.0134218	0.053053	0.0219504	0.0243747	0.00927917	0.0155074	0.020407	0.914294
108	-2599.127	-2705.796	106.669	0.117832	0.370713	0.629287	0.882168	0.9426299	0.0190194	0.00330996	0.00631219	0.0136404	0.00489241	0.109333	0.00348546	0.0042715	0.0251442	0.00366965	0.00350477	0.0252521	0.0104388	0.0144562	0.00382463	0.00261521	0.00555625	0.0171909	0.00645151	0.000309432	0.000278928	0.00264948	0.00224429	0.00771851	0.0161466	0.00777588	0.00928423	0.00467598	0.00785396	0.00262514	0.00481475	0.0112049	0.000943936	0.0087959	0.0219136	0.00207915	0.0142246	0.0236776	0.0213893	0.00470528	0.00858537	0.0135551	0.0161433	0.00682532	0.00655111	0.00204908	0.00887906	0.011382	0.0203531	0.0214554	0.0207844	0.00957075	0.0167112	0.00124521	0.0199648	0.0182309	0.0279661	0.015076	0.00908114	0.0247288	0.00360772	0.0238135	0.0167319	0.027473	0.00801969	0.00447154	0.0150024	0.364014	0.506927	0.124068	0.00499093	0.114964	0.348204	0.719549	1.38976	2.87188	8.69839	1.564098	0.0227521	0.00395957	0.00755103	0.0163175	0.0058526	0.130791	0.00416952	0.00510982	0.030079	0.00438986	0.00419262	0.0302082	0.0124875	0.0172934	0.00457526	0.00312847	0.00664672	0.0205648	0.0077177	0.000370161	0.00033367	0.00316947	0.00268475	0.00923336	0.0193156	0.00930199	0.0111064	0.0055937	0.00939539	0.00314035	0.0057597	0.013404	0.00112919	0.0105222	0.0262143	0.0024872	0.0170164	0.0283246	0.0255872	0.00562874	0.0102703	0.0162155	0.0193116	0.00816486	0.00783684	0.00245124	0.0106217	0.0136159	0.0243477	0.0256663	0.0248636	0.0114491	0.019991	0.0014896	0.0238831	0.021809	0.0334548	0.0180348	0.0108634	0.0295821	0.00431578	0.0284872	0.0200157	0.0328648	0.00959365	0.00534913	0.0179468	0.8359379
144	-2604.229	-2710.234	106.005	0.163822	0.39529	0.604711	0.836178	1.369121	0.0288605	0.00811805	0.00849301	0.0199204	0.0123139	0.176286	0.00402396	0.0146608	0.0312872	0.0027983	0.00175751	0.0207892	0.0184385	0.00860293	0.00369281	0.00703595	0.00792578	0.0065263	0.00482333	0.0053734	4.7262e-05	0.0124484	0.0135477	0.0139531	0.031741	0.0262514	0.0149682	0.0048119	0.00941726	0.00169579	0.00927945	0.0116594	0.00270284	0.0183577	0.0379833	0.00138779	0.0198258	0.027169	0.0251044	0.0150377	0.00760017	0.023386	0.0284738	0.0193649	0.0177332	0.00336535	0.0129807	0.00982802	0.0474935	0.0290296	0.0366601	0.0172263	0.029943	0.00069887	0.0335888	0.0175796	0.0562294	0.0193532	0.0265366	0.0684695	0.0179869	0.0292894	0.0465689	0.0233246	0.012592	0.0115768	0.010988	0.571279	0.230854	0.173575	0.0242915	0.171393	0.423075	0.764626	1.30783	2.36365	5.83453	1.275344	0.021426	0.00602683	0.0063052	0.0147889	0.00914186	0.130874	0.00298739	0.0108841	0.0232276	0.00207746	0.00130477	0.0154339	0.0136887	0.00638681	0.00274154	0.00522348	0.00588409	0.00484512	0.00358084	0.00398921	3.50873e-05	0.00924169	0.0100578	0.0103588	0.0235645	0.019489	0.0111124	0.00357235	0.00699136	0.00125895	0.00688905	0.00865596	0.00200659	0.0136288	0.0281987	0.00103029	0.0147187	0.0201702	0.0186375	0.011164	0.00564236	0.0173617	0.0211389	0.0143765	0.0131651	0.00249843	0.00963688	0.00729631	0.0352592	0.0215516	0.0272164	0.0127888	0.0222297	0.000518841	0.0249363	0.0130511	0.0417447	0.0143678	0.0197007	0.0508317	0.0133534	0.0217445	0.0345727	0.0173162	0.00934828	0.00859459	0.0081575	1.346984
180	-2596.923	-2702.893	105.9705	0.187926	0.406038	0.593962	0.812074	1.664966	0.0321637	0.00338981	0.00786859	0.0190043	0.00537656	0.145892	0.00889692	0.00805758	0.0464081	0.00581096	0.00481698	0.0157275	0.0139067	0.00826879	0.000824766	0.00633519	0.0201094	0.0102719	0.0122285	0.00374034	0.000525368	0.00128807	0.00558369	0.0258696	0.0126982	0.0174137	0.00923305	0.0126758	0.0100233	0.00128165	0.0101127	0.0162794	0.00257397	0.0110279	0.0416422	0.00246952	0.0163975	0.0265361	0.0471133	0.0243678	0.00923884	0.0230123	0.0362376	0.0122668	0.0112431	0.00175286	0.0257089	0.0140032	0.0201176	0.0226558	0.0280718	0.0118343	0.0254294	0.00286799	0.0247039	0.0226966	0.0656604	0.0257162	0.0212702	0.0431405	0.00395822	0.0218054	0.0231122	0.0366228	0.0169781	0.0120623	0.020401	0.562393	0.0253712	0.214938	0.197298	0.199149	0.455205	0.782288	1.2783	2.19681	5.02137	1.166818	0.0255922	0.00269722	0.00626091	0.0151214	0.00427805	0.116084	0.00707914	0.00641129	0.0369262	0.00462369	0.0038328	0.0125141	0.0110653	0.00657935	0.000656253	0.00504082	0.0160008	0.00817322	0.00973004	0.00297613	0.000418027	0.0010249	0.00444286	0.020584	0.0101037	0.0138558	0.00734659	0.0100859	0.00797535	0.00101979	0.00804655	0.0129533	0.00204806	0.00877472	0.033134	0.00196496	0.0130473	0.0211144	0.0374873	0.0193891	0.00735121	0.0183106	0.0288337	0.00976048	0.00894597	0.00139472	0.0204562	0.0111422	0.0160072	0.0180269	0.0223363	0.00941633	0.0202338	0.00228201	0.0196565	0.0180593	0.052245	0.020462	0.0169244	0.0343262	0.0031495	0.0173502	0.01839	0.0291402	0.0135092	0.0095978	0.0162328	1.25678
216	-2594.529	-2701.67	107.1414	0.0117233	0.23873	0.76127	0.988277	0.270685	0.0105583	0.00426796	0.00666837	0.00983845	0.0130903	0.109836	0.00276082	0.0042764	0.0176733	0.00525958	0.00219603	0.00017326	0.00843402	0.000675105	0.00418285	0.00115255	0.0137854	0.00333838	0.000487738	0.00649954	0.000461589	0.00412823	0.000134751	0.0150042	0.00226884	0.00883815	0.0116889	0.00534477	0.00614561	0.00174405	0.00956266	0.00795669	0.000815449	0.00551053	0.0208678	0.0264433	0.00111255	0.028167	0.00426962	0.0100886	0.0107232	0.0201252	0.0105156	0.0124081	0.0152074	0.0169892	0.0234204	0.0177344	0.00893051	0.0106448	9.82786e-05	0.000157058	0.0128162	0.0162728	0.0180883	0.0401356	0.000139487	0.0105169	0.0240243	0.00664188	0.00882402	0.020195	0.0179588	0.0150471	0.0106185	0.0345387	0.00752824	0.187472	0.57771	0.155016	0.0798019	0.0876496	0.305054	0.690454	1.44832	3.27811	11.4091	1.760245	0.0134328	0.00542993	0.00848386	0.012517	0.0166541	0.139739	0.00351247	0.00544067	0.0224849	0.00669152	0.00279391	0.000220431	0.0107302	0.000858904	0.00532165	0.00146633	0.0175385	0.00424726	0.000620526	0.00826906	0.000587258	0.00525215	0.000171438	0.0190891	0.00288654	0.0112444	0.0148712	0.0067999	0.00781877	0.00221888	0.0121661	0.0101229	0.00103746	0.00701079	0.0265492	0.0336425	0.00141544	0.0358356	0.00543204	0.0128353	0.0136427	0.0256043	0.0133785	0.0157862	0.0193476	0.0216146	0.0297966	0.0225626	0.0113619	0.0135428	0.000125035	0.000199818	0.0163055	0.0207032	0.0230129	0.0510627	0.000177463	0.0133801	0.030565	0.00845015	0.0112264	0.0256932	0.0228481	0.0191437	0.0135094	0.043942	0.00957783	0.7860073
252	-2599.5	-2706.67	107.1705	0.0220163	0.268131	0.731869	0.977984	0.3395125	0.0175417	0.00414428	0.00720048	0.0191022	0.0266629	0.0976139	0.00122016	0.00320859	0.0180907	0.0101877	0.00108791	0.00405258	0.0276781	0.000622839	0.00140756	0.00988606	0.0109498	0.00787031	0.000521597	0.00539291	0.00570001	0.00124031	0.000138492	0.00978632	0.0145342	0.0136392	0.00701821	0.0047151	0.00847603	0.000999175	0.00262937	0.00793342	0.00232569	0.00337755	0.0196569	0.0249963	0.00141912	0.0225205	0.00827794	0.00549441	0.00220965	0.0070786	0.00464731	0.0101259	0.0101069	0.0167855	0.0229521	0.0363294	0.00269443	0.0077189	0.000120746	0.00411286	0.0174504	0.0162462	0.0217771	0.0419226	0.00258592	0.0188951	0.0307909	0.00458262	0.0094784	0.0108478	0.0135426	0.00846875	0.0191524	0.0319459	0.00661954	0.0983334	0.669464	0.0770684	0.155135	0.0984685	0.322871	0.702791	1.4229	3.09722	10.1555	1.676087	0.0214312	0.0050632	0.00879707	0.0233378	0.0325749	0.119258	0.00149071	0.00392004	0.022102	0.0124467	0.00132914	0.00495117	0.0338153	0.000760944	0.00171966	0.0120781	0.0133777	0.00961542	0.000637252	0.0065887	0.00696389	0.00151533	0.0001692	0.0119563	0.0177569	0.0166635	0.00857438	0.0057606	0.0103554	0.00122072	0.00321239	0.00969252	0.00284137	0.00412646	0.0240155	0.0305389	0.00173378	0.0275141	0.0101134	0.00671271	0.00269961	0.00864816	0.00567777	0.0123712	0.012348	0.0205074	0.0280413	0.0443849	0.00329188	0.00943044	0.000147519	0.00502482	0.0213198	0.0198485	0.0266059	0.0512182	0.0031593	0.0230848	0.0376183	0.00559874	0.0115801	0.0132532	0.0165454	0.0103466	0.0233991	0.0390293	0.00808732	0.8185092
288	-2592.797	-2698.517	105.7196	0.218191	0.418136	0.581864	0.781809	2.143976	0.0314863	0.00742119	0.00345486	0.0277151	0.00514841	0.101088	0.000850321	0.00512562	0.0216265	0.00559135	0.00558769	0.00298827	0.00445937	0.00483115	0.00249079	0.00690711	0.0250422	0.00493974	0.00444829	0.00231421	0.000109229	0.00429447	0.00564265	0.0150601	0.00952097	0.00903501	0.00722865	0.00389062	0.00968112	0.00159817	0.00395312	0.00900192	0.00261492	0.00641582	0.0220053	0.00581093	0.0118992	0.0161696	0.0330929	0.00581897	0.0104401	0.0136028	0.00773197	0.0185001	0.0190825	0.00465369	0.000695489	0.0140458	0.0374341	0.0166892	0.0190025	0.00735982	0.0118009	0.00481331	0.0233315	0.0189069	0.0159926	0.00144457	0.013737	0.0436927	0.0149741	0.0275915	0.00801719	0.0112869	0.00660628	0.0129802	0.0184656	0.697693	0.118877	0.114188	0.0692418	0.132187	0.372736	0.734996	1.36055	2.68286	7.56504	1.463157	0.0366444	0.00863693	0.00402084	0.0322554	0.00599182	0.117648	0.000989621	0.0059653	0.0251694	0.00650733	0.00650306	0.00347781	0.0051899	0.00562259	0.00289883	0.00803864	0.0291446	0.00574897	0.00517701	0.00269333	0.000127123	0.00499799	0.00656703	0.0175272	0.0110807	0.0105151	0.00841285	0.00452798	0.0112671	0.00185998	0.00460073	0.0104766	0.0030433	0.00746686	0.0256103	0.00676288	0.0138486	0.0188185	0.0385142	0.00677223	0.0121503	0.0158312	0.00899863	0.0215308	0.0222086	0.00541606	0.000809425	0.0163467	0.0435666	0.0194232	0.0221155	0.00856551	0.0137341	0.00560183	0.0271536	0.0220042	0.0186125	0.00168122	0.0159874	0.0508504	0.0174271	0.0321116	0.00933057	0.0131359	0.00768853	0.0151066	0.0214907	0.8592389
324	-2592.713	-2698.386	105.6728	0.196772	0.409716	0.590284	0.803229	1.790733	0.0272907	0.0081902	0.0132532	0.0106995	0.000880095	0.151944	0.0116666	0.00143718	0.044611	0.0052299	0.0110679	0.00796374	0.00633752	0.0117319	0.00363961	0.0110682	0.00936726	0.00204698	0.000681248	0.00127904	2.90874e-05	0.0190884	0.0111454	0.0214765	0.0111695	0.013482	0.0178789	0.00846567	0.0154106	0.00538443	0.00403223	0.00925666	0.000883881	0.00873411	0.0385716	0.00169763	0.0207811	0.0375228	0.0492117	0.0157243	0.0231301	0.0297183	0.0345941	0.0164443	0.0432033	0.00368053	0.0124815	0.023972	0.0326848	0.0403632	0.0321268	0.0171405	0.0268034	0.00252749	0.0464409	0.0242749	0.0499654	0.00987557	0.0232576	0.0372279	0.0175121	0.0433516	0.0228397	0.0318924	0.0216408	0.00682679	0.0210625	0.807131	0.0434906	0.0391114	0.110267	0.176566	0.429254	0.768093	1.30193	2.32962	5.66362	1.253847	0.0202849	0.00608769	0.00985098	0.00795284	0.000654165	0.112939	0.00867166	0.00106824	0.0331589	0.00388733	0.00822668	0.00591936	0.00471061	0.00872019	0.00270528	0.00822688	0.00696258	0.0015215	0.000506364	0.000950699	2.16204e-05	0.0141882	0.00828427	0.0159633	0.0083022	0.010021	0.0132892	0.00629244	0.0114546	0.00400219	0.00299711	0.00688037	0.000656979	0.00649197	0.0286699	0.00126183	0.0154464	0.0278903	0.0365786	0.0116877	0.0171923	0.0220893	0.0257134	0.0122228	0.0321125	0.0027357	0.00927735	0.0178181	0.0242943	0.0300015	0.0238795	0.0127403	0.0199227	0.00187865	0.034519	0.0180433	0.0371388	0.0073404	0.0172871	0.0276711	0.0130165	0.0322228	0.0169765	0.0237053	0.0160853	0.00507428	0.0156555	1.345371
